Peak	fimo_hits	n_motifs
P3	0	1
P4	2	3
P7	1	2
P9	1	1
P10	1	1
P11	2	3
P12	0	1
P15	1	2
P16	1	2
P17	3	3
P18	3	3
P19	2	1
P20	2	1
P21	3	3
P22	3	2
P25	1	1
P28	2	2
P29	3	2
P33	0	1
P34	1	1
P37	1	2
P42	0	2
P43	1	1
P47	2	3
P48	1	1
P49	2	3
P50	2	2
P51	1	2
P55	1	2
P56	2	2
P62	2	2
P65	0	1
P66	0	1
P67	1	2
P68	1	2
P70	2	4
P71	2	4
P72	2	2
P73	2	2
P74	1	2
P75	1	2
P80	1	2
P81	2	1
P82	2	1
P85	1	1
P86	1	1
P89	0	1
P90	0	3
P91	0	3
P95	1	1
P96	1	1
P97	2	2
P98	2	1
P99	2	1
P100	1	1
P102	1	1
P105	0	1
P106	2	3
P108	2	3
P109	2	3
P111	0	1
P117	0	1
P118	0	1
P123	3	3
P124	3	3
P125	0	1
P126	0	1
P127	0	1
P133	1	2
P134	2	2
P135	2	2
P137	1	1
P138	0	1
P139	2	1
P140	2	1
P141	1	4
P142	5	4
P143	5	4
P144	5	3
