Peak	n_motifs	fimo_hits
P1	1	0
P2	1	1
P3	1	0
P4	3	2
P5	1	0
P6	1	1
P7	2	1
P8	1	0
P9	1	1
P10	1	1
P11	3	2
P12	1	0
P13	1	0
P14	1	1
P15	2	1
P16	2	1
P17	3	3
P18	3	3
P19	1	2
P20	1	2
P21	3	3
P22	2	3
P23	2	1
P24	2	1
P25	1	1
P26	1	1
P27	1	1
P28	2	2
P29	2	3
P30	1	1
P31	1	0
P32	1	1
P33	1	0
P34	1	1
P35	1	2
P36	1	2
P37	2	1
P39	1	1
P40	2	1
P41	1	1
P42	2	0
P43	1	1
P44	1	1
P45	1	1
P46	1	1
P47	3	2
P48	1	1
P49	3	2
P50	2	2
P51	2	1
P52	1	1
P53	1	1
P54	1	1
P55	2	1
P56	2	2
P57	1	1
P58	1	0
P59	1	1
P60	1	1
P61	1	1
P62	2	2
P63	1	0
P64	2	1
P65	1	0
P66	1	0
P67	2	1
P68	2	1
P69	2	1
P70	4	2
P71	4	2
P72	2	2
P73	2	2
P74	2	1
P75	2	1
P76	1	1
P77	2	1
P78	2	0
P79	2	1
P80	2	1
P81	1	2
P82	1	2
P83	1	0
P84	1	1
P85	1	1
P86	1	1
P87	1	1
P88	1	0
P89	1	0
P90	3	0
P91	3	0
P92	1	1
P93	1	1
P94	1	1
P95	1	1
P96	1	1
P97	2	2
P98	1	2
P99	1	2
P100	1	1
P101	1	0
P102	1	1
P103	1	0
P104	1	1
P105	1	0
P106	3	2
P107	1	0
P108	3	2
P109	3	2
P110	1	1
P111	1	0
P112	1	0
P113	1	0
P114	1	0
P115	1	1
P116	1	0
P117	1	0
P118	1	0
P119	1	1
P120	1	0
P121	1	0
P122	1	1
P123	3	3
P124	3	3
P125	1	0
P126	1	0
P127	1	0
P128	1	1
P129	1	1
P130	1	1
P131	1	1
P132	1	0
P133	2	1
P134	2	2
P135	2	2
P136	1	1
P137	1	1
P138	1	0
P139	1	2
P140	1	2
P141	4	1
P142	4	5
P143	4	5
P144	3	5
