Peak	Transcription_Unit	n_motifs	S_N_ratio	paper_distance_to_tss	TU_gene_parse	mapping_status	matched_locus_tag	matched_gene	matched_start	matched_end	matched_strand	matched_tss	computed_distance_bp	replete_rep1_cpm	replete_rep2_cpm	starve_rep1_cpm	starve_rep2_cpm	replete_mean_cpm	starve_mean_cpm	log2FC
P3	fhuACDB	1	4.6	-194	fhua+fhuc+fhud+fhub	mapped_TU_constrained_paper_distance	b0150	fhuA	167484	169727	+	167484.0	236.0	39761.24718357261	26982.654758377357	119970.52924381985	102112.42709838183	33371.950970974984	111041.47817110084	1.7343605042928925
P4	fhuACDB	3	37.3	19	fhua+fhuc+fhud+fhub	mapped_TU_constrained_paper_distance	b0150	fhuA	167484	169727	+	167484.0	23.0	39761.24718357261	26982.654758377357	119970.52924381985	102112.42709838183	33371.950970974984	111041.47817110084	1.7343605042928925
P7	map	2	5.4	-41	map	mapped_TU_constrained_paper_distance	b0168	map	188712	189506	-	189506.0	88.0	27543.9411161151	23452.327157704472	36185.77104823348	32233.407477049845	25498.134136909786	34209.58926264166	0.4239946951763779
P9	pepD	1	5.83	-33	pepd	mapped_TU_constrained_paper_distance	b0237	pepD	254259	255716	-	255716.0	93.0	42102.255899381635	41374.140264225316	91999.58771022577	80701.51803526795	41738.19808180348	86350.55287274686	1.048819239333431
P10	argF-yagI	1	3.27	-188	argf+yagi	mapped_TU_constrained_paper_distance	b0273	argF	288525	289529	-	289529.0	223.0	77424.12341475478	62442.45418750627	12060.006741734076	6128.03549725974	69933.28880113052	9094.021119496909	-2.942851089775376
P11	ybaN	3	15.17	-34	yban	mapped_TU_constrained_paper_distance	b0468	ybaN	490106	490483	+	490106.0	59.0	1935.273707298827	1655.0154890495953	6432.207086252613	5946.402501012788	1795.1445981742113	6189.3047936327	1.7851069469760816
P12	adk	1	10.53	47.5	adk	mapped_TU_constrained_paper_distance	b0474	adk	496399	497043	+	496399.0	11.5	64760.822298106796	59348.02887964026	22042.727730380182	18733.279445374425	62054.42558887353	20388.003587877305	-1.605766080164266
P15	fepA-entD	2	108.87	11.5	fepa+entd	mapped_TU_constrained_paper_distance	b0584	fepA	609477	611717	-	611717.0	161.5	4799.320104889651	3036.6494011910268	83609.26961893277	47796.80417650791	3917.9847530403385	65703.03689772033	4.067430148165967
P16	fes-ybdZ-entF-fepE	2	81.53	7	fes+ybdz+entf+fepe	mapped_TU_constrained_paper_distance	b0585	fes	612038	613162	+	612038.0	121.0	1647.380131728698	1097.4453311070113	72146.59644174461	65707.14569622479	1372.4127314178545	68926.8710689847	5.649250308845306
P17	fepD-fepG-fepC	3	22.77	-36	fepd+fepg+fepc	mapped_TU_constrained_paper_distance	b0590	fepD	620408	621412	-	621412.0	9.0	1850.68843934891	1166.8595499179678	6271.9360720817	6174.9963692509955	1508.7739946334389	6223.466220666348	2.043617522398609
P18	entS	3	68.43	-29	ents	mapped_TU_constrained_paper_distance	b0591	entS	621523	622773	+	621523.0	71.0	2226.3508627281017	1438.8160273809108	11289.617641047782	8747.907542021143	1832.5834450545062	10018.762591534462	2.4501104970288523
